game,top_1_game,top_1_sim,top_2_game,top_2_sim,top_3_game,top_3_sim,top_4_game,top_4_sim,top_5_game,top_5_sim,top_6_game,top_6_sim,top_7_game,top_7_sim,top_8_game,top_8_sim,top_9_game,top_9_sim,top_10_game,top_10_sim
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),AaAaAA!!! - A Reckless Disregard for Gravity,0.8309946054142785,The Wonderful End of the World,0.638191150565355,BIT.TRIP BEAT,0.5815652281732477,RUSH,0.41649241652037383,Defense Grid The Awakening,0.37761601469652717,Osmos,0.3396118023510586,Jamestown,0.32270531302226274,Cogs,0.31275043516308465,The Ball,0.2846735512786758,Toki Tori,0.25208250888816985
10 Second Ninja,Thomas Was Alone,0.18474870555194042,Terraria,0.08906831781604467,Half-Life 2 Episode Two,0.08725063222711123,Portal 2,0.08429829170706529,Half-Life 2 Deathmatch,0.07517548141589474,Half-Life 2 Episode One,0.06477619892520453,Half-Life 2 Lost Coast,0.06469948783592704,Half-Life 2,0.062396639575364996,Left 4 Dead 2,0.04992438056389206,Counter-Strike Source,0.037958951772216684
100% Orange Juice,Garry's Mod,0.09884918406964299,Cry of Fear,0.08991535912495205,Don't Starve Together Beta,0.08933747191079558,PAYDAY 2,0.08723316264704835,No More Room in Hell,0.08615891832009752,Castle Crashers,0.08347882055630391,Portal 2,0.07727772615983272,Borderlands 2,0.07693940183085571,Amnesia The Dark Descent,0.07442184512318585,Dead Island Epidemic,0.067652063345542
12 Labours of Hercules,12 Labours of Hercules II The Cretan Bull,0.5202327067309921,Caster,0.3421588629425808,Anomaly Warzone Earth,0.3032431494907,Borderlands 2 Headhunter 2 Wattle Gobbler,0.2600379510151783,Borderlands 2 Headhunter 1 Bloody Harvest,0.256996466841302,Clicker Heroes,0.11566412114227284,ORION Prelude,0.09749777652148264,BioShock Infinite,0.08847820497263222,Counter-Strike Global Offensive,0.08146551607382567,Borderlands 2,0.08066001571779255
12 Labours of Hercules II The Cretan Bull,Frankenstein Master of Death,0.5959158254028013,12 Labours of Hercules,0.5202327067309921,Squishy the Suicidal Pig,0.3617930242907522,Dungeon Siege III,0.32199261194970596,Lara Croft and the Guardian of Light,0.2684055573609031,Thief Gold,0.25216482754902464,Caster,0.25124393413105045,Hitman Absolution,0.1283150737633374,The Witcher 2 Assassins of Kings Enhanced Edition,0.11891960550833691,Tomb Raider,0.11544667667816444
12 Labours of Hercules III Girl Power,Brawlhalla,0.1400650911268002,Terraria,0.0925660964907212,Counter-Strike Global Offensive,0.05377801636343108,ARK Survival Evolved,0.0,Ys Origin,0.0,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),0.0,theHunter,0.0,the static speaks my name,0.0,sZone-Online,0.0,resident evil 4 / biohazard 4,0.0
140,Ballpoint Universe Infinite,0.5658660988689295,KAMI,0.5406790109779701,MirrorMoon EP,0.5086932461269894,Finding Teddy Soundtrack,0.4812769985375218,Ethan Meteor Hunter,0.4655808571637188,Finding Teddy,0.454375424974596,Super Splatters,0.4371705210087276,Contraption Maker,0.37447491809923383,La-Mulana,0.34602365892857967,Anachronox,0.32823100932432314
3DMark,3DMark Cloud Gate benchmark,0.8942306225993668,3DMark Sky Diver benchmark,0.8942306225993668,3DMark Fire Strike benchmark,0.8942306225993668,3DMark Ice Storm benchmark,0.8942306225993668,3DMark API Overhead feature test,0.8942306225993668,Intrusion 2,0.2639015444099612,DEFCON,0.2538830386121593,Hard Reset Exile DLC,0.23328742424512208,Company of Heroes Opposing Fronts,0.23097931402673905,Sacred Citadel,0.23033103877197314
3DMark API Overhead feature test,3DMark Cloud Gate benchmark,1.0,3DMark Fire Strike benchmark,1.0,3DMark Sky Diver benchmark,1.0,3DMark Ice Storm benchmark,1.0,3DMark,0.8942306225993668,Intrusion 2,0.3081648990810618,Sacred Citadel,0.2833315873079179,Capsized,0.2778784059951637,Darwinia,0.273832269431316,DEFCON,0.2712162843182902
3DMark Cloud Gate benchmark,3DMark API Overhead feature test,1.0,3DMark Fire Strike benchmark,1.0,3DMark Sky Diver benchmark,1.0,3DMark Ice Storm benchmark,1.0,3DMark,0.8942306225993668,Intrusion 2,0.3081648990810618,Sacred Citadel,0.2833315873079179,Capsized,0.2778784059951637,Darwinia,0.273832269431316,DEFCON,0.2712162843182902
3DMark Fire Strike benchmark,3DMark API Overhead feature test,1.0,3DMark Cloud Gate benchmark,1.0,3DMark Sky Diver benchmark,1.0,3DMark Ice Storm benchmark,1.0,3DMark,0.8942306225993668,Intrusion 2,0.3081648990810618,Sacred Citadel,0.2833315873079179,Capsized,0.2778784059951637,Darwinia,0.273832269431316,DEFCON,0.2712162843182902
3DMark Ice Storm benchmark,3DMark API Overhead feature test,1.0,3DMark Cloud Gate benchmark,1.0,3DMark Sky Diver benchmark,1.0,3DMark Fire Strike benchmark,1.0,3DMark,0.8942306225993668,Intrusion 2,0.3081648990810618,Sacred Citadel,0.2833315873079179,Capsized,0.2778784059951637,Darwinia,0.273832269431316,DEFCON,0.2712162843182902
3DMark Sky Diver benchmark,3DMark API Overhead feature test,1.0,3DMark Cloud Gate benchmark,1.0,3DMark Ice Storm benchmark,1.0,3DMark Fire Strike benchmark,1.0,3DMark,0.8942306225993668,Intrusion 2,0.3081648990810618,Sacred Citadel,0.2833315873079179,Capsized,0.2778784059951637,Darwinia,0.273832269431316,DEFCON,0.2712162843182902
404Sight,Defiance,0.11266341263908475,Fistful of Frags,0.09458750893151956,Survarium,0.09348736738225949,Saints Row The Third,0.09209828321556003,Tactical Intervention,0.08410220779658528,Marvel Heroes 2015,0.08253072743024548,Nosgoth,0.08243011132901615,Unturned,0.08191884218812848,theHunter,0.08018091222826852,Dirty Bomb,0.07708442959341814
60 Seconds!,Garry's Mod,0.05237863153080857,A Valley Without Wind 2,0.0,ARK Survival Evolved,0.0,Ys Origin,0.0,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),0.0,theHunter,0.0,the static speaks my name,0.0,sZone-Online,0.0,resident evil 4 / biohazard 4,0.0,realMyst,0.0
